conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username,source_file
1.94E+18,Fri Jun 20 09:06:07 +0000 2025,0,@bajradprawira Raja ampat ngantemi wong tambang,1.94E+18,,bajradprawira,in,,0,0,0,https://x.com/undefined/status/1935987516097937701,1707609859,,rajaAmpat12.csv
1.94E+18,Fri Jun 20 09:00:07 +0000 2025,1,Berkhianat pada revolusi ini berarti berkhianat pada diri sendiri pada publik yang membayarnya. - Pramoedya Ananta Toer #SaveRajaAmpat #IndonesiaEmas,1.94E+18,,,in,,0,0,0,https://x.com/undefined/status/1935986005053784562,1.87E+18,,rajaAmpat12.csv
1.94E+18,Fri Jun 20 09:00:06 +0000 2025,1,Kami memang orang miskin. Di mata orang kota kemiskinan itu kesalahan. Lupa mereka lauk yang dimakannya itu kerja kami. - Pramoedya Ananta Toer #SaveRajaAmpat #IndonesiaEmas,1.94E+18,,,in,,0,0,0,https://x.com/undefined/status/1935986003266965571,1.89E+18,,rajaAmpat12.csv
1.93E+18,Fri Jun 20 08:52:04 +0000 2025,0,@eesss_ Dua sejoli semoga awet jodoh hoax mah buang aja deh plis cek dan ricek lagi biar nggak salah tuding https://t.co/6Z46UXMlNU,1.94E+18,,eesss_,in,,0,0,0,https://x.com/undefined/status/1935983982052884497,413070700,,rajaAmpat12.csv
1.94E+18,Fri Jun 20 08:30:27 +0000 2025,3,Kmrn saya sempat heran kenapa ada warga Raja Ampat yg mendukung tambang. Tapi setelah ditelusuri: Raja Ampat: Surga yg tdk merata utk warga. Banyak warga yg sejak lama hanya bisa menonton di tepi dermaga saat hotel2 mewah milik investor dibanjiri turis alat2 diving ramai,1.94E+18,,,in,,0,0,1,https://x.com/undefined/status/1935978540388041083,1.36E+18,,rajaAmpat12.csv
1.94E+18,Fri Jun 20 08:00:06 +0000 2025,1,Yang tidak memerlukan Hyang Mahadewa juga tidak diperlukan olehnya. Tetapi hukumnya berjalan terus dengan atau tanpa manusia. - Pramoedya Ananta Toer #SaveRajaAmpat #IndonesiaEmas,1.94E+18,,,in,,0,0,0,https://x.com/undefined/status/1935970903852302465,1.87E+18,,rajaAmpat12.csv
1.94E+18,Fri Jun 20 08:00:06 +0000 2025,1,Gairah kerja adalah pertanda daya hidup; dan selama orang tidak suka bekerja sebenarnya ia sedang berjabatan tangan dengan maut. - Pramoedya Ananta Toer #SaveRajaAmpat #IndonesiaEmas,1.94E+18,,,in,,0,0,1,https://x.com/undefined/status/1935970902178750784,1.89E+18,,rajaAmpat12.csv
1.94E+18,Fri Jun 20 07:57:52 +0000 2025,0,kalo ada orang nanya kamu ada di tim mana? aku jawab tim bubur diaduk #saverajaampat,1.94E+18,,,in,,0,1,0,https://x.com/undefined/status/1935970340808933833,1.04E+18,,rajaAmpat12.csv
1.94E+18,Fri Jun 20 07:45:47 +0000 2025,4,Solidaritas Peduli Alam dan Manusia Cabut Izin Pertambangan PT. GAG Nikel di Raja Ampat serta Tolak seluruh Investasi Di Tanah Papua Yogyakarta 13 Juni 2025 https://t.co/LirdxCf6u9,1.94E+18,https://pbs.twimg.com/media/Gt3v_68W0AABmVm.jpg,,in,,0,1,2,https://x.com/undefined/status/1935967300097917369,1.62E+18,,rajaAmpat12.csv
1.94E+18,Fri Jun 20 07:44:52 +0000 2025,0,Mama Papua TOLAK TAMBANG NIKEL DI RAJA AMPAT- PAPUA https://t.co/3GMSoHPC21 https://t.co/hGTOmVx7qe,1.94E+18,https://pbs.twimg.com/media/Gt3vyb9XEAAj6AJ.jpg,,in,,0,0,0,https://x.com/undefined/status/1935967067649589529,1.62E+18,,rajaAmpat12.csv
